tweet_id;timestamp;tweet_link;text;expanded_urls_media;retweet_count;like_count
7,91331973314728E+017;2016/10/26_10:33;https://twitter.com/BarackObama/status/791331973314727936;No one's too wrapped up in pre-existing conditions to #GetCovered. Thanks to Obamacare you can find a plan that meets your needs.pic.twitter.com/ZLKWSvHNk8;https://pbs.twimg.com/media/CvtgG0rUkAAN8oG.jpg;1457;7178
7,91315070588379E+017;2016/10/26_09:26;https://twitter.com/BarackObama/status/791315070588379136;Help protect the progress we've made in helping millions of Americans get covered. Add your name now:http://ofa.bo/2dIKiZL ;;760;3723
7,91293617163805E+017;2016/10/26_08:01;https://twitter.com/BarackObama/status/791293617163804673;DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCoveredpic.twitter.com/9RGG5Pr4mb;https://pbs.twimg.com/media/Cvs9Sn4VYAADXPB.jpg;993;3958
7,91005180145787E+017;2016/10/25_12:55;https://twitter.com/BarackObama/status/791005180145786880;Women the sick survivors—they all deserve fair treatment in our health care system. #Obamacarepic.twitter.com/G948HN7pzV;https://pbs.twimg.com/media/Cvo1CavUMAAismj.jpg;2181;9342
7,90976567249732E+017;2016/10/25_11:01;https://twitter.com/BarackObama/status/790976567249731584;Don't get tripped up by misinformation. Join the @OFA Truth Team today: http://ofa.bo/2e7FVDZ pic.twitter.com/vwwDgFHq6A;;846;3349
7,90937285789307E+017;2016/10/25_08:25;https://twitter.com/BarackObama/status/790937285789306880;Be proud of the progress we've made together—wear the mark of this movement. http://ofa.bo/2eFUY9Z pic.twitter.com/1Z4yJmYh4E;https://pbs.twimg.com/media/Cvn32IJVMAEHZTE.jpg;950;4918
7,90667378023502E+017;2016/10/24_14:32;https://twitter.com/BarackObama/status/790667378023501825;Strong policies that help working families get ahead are good for our economy.pic.twitter.com/QRRhibjZCl;;1735;6885
7,90646938437685E+017;2016/10/24_13:11;https://twitter.com/BarackObama/status/790646938437685248;The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market.http://ofa.bo/2eoEgwE ;;1361;4573
7,90626992433398E+017;2016/10/24_11:52;https://twitter.com/BarackObama/status/790626992433397760;Since 2010 America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: http://ofa.bo/2e4wfdd ;;735;3397
7,90573868335309E+017;2016/10/24_08:21;https://twitter.com/BarackObama/status/790573868335308801;Health care is a right not a privilege—and #Obamacare works to protect that right for millions of Americans.pic.twitter.com/B7fO8rhggW;https://pbs.twimg.com/media/CviuJukVUAAmoyM.jpg;2667;11113
7,89568706837901E+017;2016/10/21_13:47;https://twitter.com/BarackObama/status/789568706837901315;Don't get tripped up by misinformation. Join the @OFA Truth Team today: http://ofa.bo/2ePMlfI pic.twitter.com/Nxgp87o4iq;;862;3305
7,89506728316502E+017;2016/10/21_09:40;https://twitter.com/BarackObama/status/789506728316502016;Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the security of health care.pic.twitter.com/s87tsEpUv1;https://pbs.twimg.com/media/CvTkIY2VYAAQzEX.jpg;2467;11726
7,89480358345454E+017;2016/10/21_07:55;https://twitter.com/BarackObama/status/789480358345453568;Because of Obamacare another 20 million Americans now know the financial security of health insurance.http://www.snappytv.com/tc/3055928 ;;1634;7523
7,8920508221039E+017;2016/10/20_13:42;https://twitter.com/BarackObama/status/789205082210390018;Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: http://ofa.bo/2enxsPd ;;987;4521
7,89176114597859E+017;2016/10/20_11:47;https://twitter.com/BarackObama/status/789176114597859330;There's still more work to do but let's celebrate how far we've come.pic.twitter.com/kUVWn68kJw;https://pbs.twimg.com/media/CvO3eEXVIAAlj57.jpg;1450;6693
7,89162509823455E+017;2016/10/20_10:52;https://twitter.com/BarackObama/status/789162509823455232;LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. http://ofa.bo/2ekISnP ;;582;2701
7,89147820695487E+017;2016/10/20_09:54;https://twitter.com/BarackObama/status/789147820695486464;Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. http://ofa.bo/2ekISnP ;;475;2328
7,89127975140602E+017;2016/10/20_08:35;https://twitter.com/BarackObama/status/789127975140601856;There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team: http://ofa.bo/2e4u2Qt pic.twitter.com/TJRao05cIe;;1035;3691
7,88834727054631E+017;2016/10/19_13:10;https://twitter.com/BarackObama/status/788834727054630913;From coast to coast editorial boards are denouncing Senate obstructionism. Take a look: http://ofa.bo/2dP12dX  #DoYourJob;;949;3344
7,88803700286292E+017;2016/10/19_11:07;https://twitter.com/BarackObama/status/788803700286291969;Our Supreme Court has been short a justice for far too long. #DoYourJob Senate leaders. http://ofa.bo/2e1Kwce ;;1325;4317
7,88758927617827E+017;2016/10/19_08:09;https://twitter.com/BarackObama/status/788758927617826816;The need for a ninth justice is undeniably clear. #DoYourJobpic.twitter.com/L1EBgNbh3Q;https://pbs.twimg.com/media/CvI6f0SVUAA_K3Y.jpg;2357;7463
7,88469915527164E+017;2016/10/18_13:00;https://twitter.com/BarackObama/status/788469915527163905;We can't afford to let this be the new normal. http://ofa.bo/2dZi76F  #ActOnClimate;;1818;4431
7,8844586790049E+017;2016/10/18_11:25;https://twitter.com/BarackObama/status/788445867900489728;Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http://ofa.bo/2e3fRg6  #ActOnClimate;;709;2878
7,88426999626732E+017;2016/10/18_10:10;https://twitter.com/BarackObama/status/788426999626731521;Climate change is real but so is the progress we're making to #ActOnClimate. Let's keep it up.pic.twitter.com/GOFKXQblGJ;https://pbs.twimg.com/media/CvEMkJLVUAMjdOG.jpg;2015;8065
7,88405579316277E+017;2016/10/18_08:45;https://twitter.com/BarackObama/status/788405579316277248;This is just the latest step forward in the push to #ActOnClimate.http://ofa.bo/2eBOxHu ;;809;3358
7,88141079795163E+017;2016/10/17_15:14;https://twitter.com/BarackObama/status/788141079795163136;Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. http://ofa.bo/2ezmhFx  #LetGirlsLearn;;1321;5486
7,8812440488654E+017;2016/10/17_14:07;https://twitter.com/BarackObama/status/788124404886540288;"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change:http://ofa.bo/2dWNyOS ";;1169;3222
7,88088844771926E+017;2016/10/17_11:46;https://twitter.com/BarackObama/status/788088844771926016;Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: http://ofa.bo/2dJghVG  #DoYourJob;;1350;3783
7,88039460411683E+017;2016/10/17_08:30;https://twitter.com/BarackObama/status/788039460411682817;Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and an up-or-down vote.pic.twitter.com/oduFmNGDgO;https://pbs.twimg.com/media/Cu-tIkCVYAAygla.jpg;3366;10948
7,87039774330749E+017;2016/10/14_14:17;https://twitter.com/BarackObama/status/787039774330748928;We need a fully functional Supreme Court. Editorial boards across the country agree: http://ofa.bo/2dCG7KU  #DoYourJob;;1036;3713
7,87010142378332E+017;2016/10/14_12:20;https://twitter.com/BarackObama/status/787010142378332160;The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS vacancy.pic.twitter.com/4yseqnOBX4;;5298;13682
7,86982739517944E+017;2016/10/14_10:31;https://twitter.com/BarackObama/status/786982739517943808;Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http://ofa.bo/2dZNTRx  #ActOnClimate;;711;2768
7,86964419905524E+017;2016/10/14_09:18;https://twitter.com/BarackObama/status/786964419905523712;Cynics take note: When we #ActOnClimate we build a stronger future.pic.twitter.com/wHHMdo2ro6;https://pbs.twimg.com/media/Cuvb8-IXEAIHVOM.jpg;1085;4168
7,86680553617629E+017;2016/10/13_14:30;https://twitter.com/BarackObama/status/786680553617629185;That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us. Read more:http://ofa.bo/2dNlZZy ;;1924;6656
7,86665200711787E+017;2016/10/13_13:29;https://twitter.com/BarackObama/status/786665200711786496;Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: http://ofa.bo/2dNKl4h  #DoYourJob;;736;2614
7,86634894629741E+017;2016/10/13_11:29;https://twitter.com/BarackObama/status/786634894629740544;Senate leaders have undercut the functionality of the Supreme Court and that's unacceptable. #DoYourJobpic.twitter.com/5HFXhgTMoP;https://pbs.twimg.com/media/Cuqvbd2UMAAUXKx.jpg;2516;8709
7,86610870180647E+017;2016/10/13_09:53;https://twitter.com/BarackObama/status/786610870180646913;Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. http://ofa.bo/2dVVHno  #DoYourJob;;1041;3196
7,86311063025451E+017;2016/10/12_14:02;https://twitter.com/BarackObama/status/786311063025451012;LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. http://ofa.bo/2egOvVm ;;535;2241
7,86291325486309E+017;2016/10/12_12:43;https://twitter.com/BarackObama/status/786291325486309381;Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: http://ofa.bo/2dcUwww ;;554;2281
7,86264508436058E+017;2016/10/12_10:57;https://twitter.com/BarackObama/status/786264508436058112;Last week more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. http://ofa.bo/2dcG2Nb  #ActOnClimate;;897;3564
7,8624395460166E+017;2016/10/12_09:35;https://twitter.com/BarackObama/status/786243954601660417;Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimatepic.twitter.com/mP29bpRdU9;https://pbs.twimg.com/media/CulMlH9VUAArKAL.jpg;3680;12043
7,86226181318124E+017;2016/10/12_08:25;https://twitter.com/BarackObama/status/786226181318123523;Climate change's effects are devastating. Denying the science behind it does nothing to help. http://ofa.bo/2d7ppaq  #ActOnClimate;;1239;3444
7,85993169460527E+017;2016/10/11_16:59;https://twitter.com/BarackObama/status/785993169460527104;On behalf of Michelle and our family G’mar Chatimah Tovah. —President Obama #YomKippur;;1616;7334
7,85952655113724E+017;2016/10/11_14:18;https://twitter.com/BarackObama/status/785952655113723904;LGBT individuals deserve to know their country stands beside them. —President Obama #NationalComingOutDaypic.twitter.com/op7nBzbaod;;19497;42719
7,85933569365451E+017;2016/10/11_13:02;https://twitter.com/BarackObama/status/785933569365450752;The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJobpic.twitter.com/eVSPSIFNpB;https://pbs.twimg.com/media/CugyXymVMAE6UTB.jpg;3048;9970
7,85912543210377E+017;2016/10/11_11:38;https://twitter.com/BarackObama/status/785912543210377216;Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: http://ofa.bo/2dH41rB  #DoYourJob;;903;3159
7,85894365298209E+017;2016/10/11_10:26;https://twitter.com/BarackObama/status/785894365298208769;Judge Garland is just as qualified now as he was in 1997 Senate leaders. It's time to #DoYourJob.pic.twitter.com/j1lEkdMYV6;;2285;7160
7,85865432486015E+017;2016/10/11_08:31;https://twitter.com/BarackObama/status/785865432486014980;Dispel misinformation with facts from the @OFA Truth Team.http://ofa.bo/2dIq9AB ;;457;1877
7,84514411604042E+017;2016/10/07_15:03;https://twitter.com/BarackObama/status/784514411604041729;The uninsured rate is the lowest it's been in decades thanks to #Obamacare. Spread the word. http://ofa.bo/2dLpd09 pic.twitter.com/zH364SozNu;https://pbs.twimg.com/media/CuMnrU6WcEEQkHi.jpg;1768;6526
7,8449319506124E+017;2016/10/07_13:38;https://twitter.com/BarackObama/status/784493195061239808;Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: http://ofa.bo/2cXFmzM  #StopTheDebtTrap;;650;2334
7,84482008730735E+017;2016/10/07_12:54;https://twitter.com/BarackObama/status/784482008730734592;The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap.pic.twitter.com/UMO01OUkdh;https://pbs.twimg.com/media/CuMKLovXEAAawBZ.jpg;588;2543
7,84453805706535E+017;2016/10/07_11:02;https://twitter.com/BarackObama/status/784453805706534916;Our economy is on a better stronger course.http://ofa.bo/2dkzDAj ;;609;2548
7,84427310703346E+017;2016/10/07_09:16;https://twitter.com/BarackObama/status/784427310703345664;The economic progress we've made is undeniable—let's keep it up.pic.twitter.com/gAlfaC1hkI;https://pbs.twimg.com/media/CuLYD2bWYAEpnxE.jpg;1098;3795
7,84411527193457E+017;2016/10/07_08:14;https://twitter.com/BarackObama/status/784411527193456640;Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces.http://ofa.bo/2dk8Ynm ;;1168;3294
