tweet_id,tweet_link,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
772841067276333056,https://twitter.com/POTUS44/status/772841067276333056,,,2016-09-05 16:57:23 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!",,,,
772970240602836992,https://twitter.com/POTUS44/status/772970240602836992,,,2016-09-06 01:30:41 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries.",,,,
779683020043419649,https://twitter.com/POTUS44/status/779683020043419649,,,2016-09-24 14:04:52 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.,,,,
780244157625278464,https://twitter.com/POTUS44/status/780244157625278464,,,2016-09-26 03:14:38 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arnold. https://t.co/UlyfpIBOL2",,,,http://twitter.com/POTUS/status/780244157625278464/photo/1
780480428872306688,https://twitter.com/POTUS44/status/780480428872306688,,,2016-09-26 18:53:29 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @NYTNational: Census data shows 3.5 million Americans were able to raise their chins above the poverty line last year https://t.co/FEr5e…,780219092573753344,1767741,2016-09-26 01:35:02 +0000,http://nyti.ms/2dbl0Pf
780809121314504704,https://twitter.com/POTUS44/status/780809121314504704,,,2016-09-27 16:39:35 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r,,,,http://www.vote.gov
780906000391864320,https://twitter.com/POTUS44/status/780906000391864320,,,2016-09-27 23:04:33 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,,,,
781639251528081409,https://twitter.com/POTUS44/status/781639251528081409,,,2016-09-29 23:38:14 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",,,,
782218662228942848,https://twitter.com/POTUS44/status/782218662228942848,,,2016-10-01 14:00:36 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK,,,,http://nyti.ms/2cIsldp
782594690738597888,https://twitter.com/POTUS44/status/782594690738597888,,,2016-10-02 14:54:48 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy.",,,,
782762238616727552,https://twitter.com/POTUS44/status/782762238616727552,,,2016-10-03 02:00:35 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.,,,,
782970909229326336,https://twitter.com/POTUS44/status/782970909229326336,,,2016-10-03 15:49:46 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP,,,,"http://wh.gov/SXSL,http://twitter.com/POTUS/status/782970909229326336/photo/1"
783771904297447424,https://twitter.com/POTUS44/status/783771904297447424,,,2016-10-05 20:52:38 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.,,,,
784170804279992320,https://twitter.com/POTUS44/status/784170804279992320,,,2016-10-06 23:17:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s",,,,http://Ready.gov
784508784316063744,https://twitter.com/POTUS44/status/784508784316063744,,,2016-10-07 21:40:44 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG,,,,"http://Vote.gov,http://twitter.com/POTUS/status/784508784316063744/photo/1"
785511825395765248,https://twitter.com/POTUS44/status/785511825395765248,,,2016-10-10 16:06:27 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans.",,,,
785887247727857664,https://twitter.com/POTUS44/status/785887247727857664,,,2016-10-11 16:58:15 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility.",,,,
786254141182074880,https://twitter.com/POTUS44/status/786254141182074880,,,2016-10-12 17:16:09 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Now this was fun. Artificial intelligence, space travel—hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08",,,,https://twitter.com/wired/status/786159612940656641
786598777482153988,https://twitter.com/POTUS44/status/786598777482153988,,,2016-10-13 16:05:37 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS",,,,http://spoti.fi/25fTuWt
787047018606784512,https://twitter.com/POTUS44/status/787047018606784512,,,2016-10-14 21:46:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS",,,,http://ItsOnUs.org
787662124197830656,https://twitter.com/POTUS44/status/787662124197830656,,,2016-10-16 14:30:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",,,,
788098889140219904,https://twitter.com/POTUS44/status/788098889140219904,,,2016-10-17 19:26:31 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending cancer as we know it. https://t.co/O0twPYcRSc",,,,https://twitter.com/vp/status/788097252522721280
789096632537055232,https://twitter.com/POTUS44/status/789096632537055232,,,2016-10-20 13:31:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.,,,,
789265672404627456,https://twitter.com/POTUS44/status/789265672404627456,,,2016-10-21 00:42:54 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @vj44: We lit the @WhiteHouse pink tonight to commemorate Breast Cancer Awareness Month. Make sure to enroll in #ACA starting Nov. 1 htt…,789237393719255044,595515713,2016-10-20 22:50:32 +0000,http://twitter.com/vj44/status/789237393719255044/photo/1
789598150541635588,https://twitter.com/POTUS44/status/789598150541635588,,,2016-10-21 22:44:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Thanks for the inspiration. https://t.co/qe7h3IfTTZ,,,,http://twitter.com/POTUS/status/789598150541635588/photo/1
790236602584948736,https://twitter.com/POTUS44/status/790236602584948736,,,2016-10-23 17:01:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",,,,
794057504871346176,https://twitter.com/POTUS44/status/794057504871346176,,,2016-11-03 06:03:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?,,,,
794322003754790913,https://twitter.com/POTUS44/status/794322003754790913,,,2016-11-03 23:34:58 +0000,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",,,,"http://HealthCare.gov,http://twitter.com/POTUS/status/794322003754790913/photo/1"
796018814072672256,https://twitter.com/POTUS44/status/796018814072672256,,,2016-11-08 15:57:29 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",,,,
797128959578271744,https://twitter.com/POTUS44/status/797128959578271744,,,2016-11-11 17:28:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",,,,
