KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42018";".68/1";"";1;"01";"T";"";357;;"1241/2015/42";"GFT1";"42018";246
"42018";".68/1";"";8;"05";"T";"";486;;"1241/2015/42";"GFT1";"42018";246
"42018";".68/2";"";2;"01";"";"";36;5;"493/2022/42";"GFT20";"42018";246
"42018";".69";"";1;"01";"";"";93;;"285/2014/42";"GFT20";"42018";248
"42018";".70/1";"";1;"01";"";"";64;;"285/2014/42";"GFT20";"42018";248
"42018";".71/1";"";1;"01";"";"";462;;"10288/2012/42";"GFT20";"42018";275
"42018";".72/1";"";1;"01";"";"*";141;;"10288/2012/42";"GFT20";"42018";275
"42018";".74";"";1;"01";"";"";65;;"10288/2012/42";"GFT20";"42018";275
"42018";".76/1";"";1;"01";"";"*";149;;"10288/2012/42";"GFT20";"42018";273
"42018";".76/2";"";1;"01";"";"";80;;"10288/2012/42";"GFT20";"42018";273
"42018";".77";"";1;"01";"";"";24;;"10288/2012/42";"GFT20";"42018";15
"42018";".78/1";"";1;"01";"";"";56;;"10288/2012/42";"GFT20";"42018";228
"42018";".78/2";"";1;"01";"";"";30;;"10288/2012/42";"GFT20";"42018";249
"42018";".79/1";"";1;"01";"";"";45;;"10288/2012/42";"GFT20";"42018";246
"42018";".79/3";"";1;"01";"";"";26;;"10288/2012/42";"GFT20";"42018";76
"42018";".80";"";1;"01";"";"";26;;"10288/2012/42";"GFT20";"42018";246
"42018";".81/1";"";1;"01";"";"*";40;;"10288/2012/42";"GFT20";"42018";227
"42018";".81/3";"";1;"01";"";"";43;;"10288/2012/42";"GFT20";"42018";320
"42018";".84";"";1;"01";"";"";53;;"10288/2012/42";"GFT20";"42018";327
"42018";".85";"";1;"01";"";"";155;;"10288/2012/42";"GFT20";"42018";272
"42018";".86/1";"";1;"01";"";"*";165;;"10288/2012/42";"GFT20";"42018";272
"42018";".86/2";"";1;"01";"";"";71;;"10288/2012/42";"GFT20";"42018";272
"42018";".86/3";"";1;"01";"";"";60;;"10288/2012/42";"GFT20";"42018";272
"42018";".87";"";1;"01";"";"";85;;"10288/2012/42";"GFT20";"42018";270
"42018";".88";"";1;"01";"";"";43;;"10288/2012/42";"GFT20";"42018";270
"42018";".89";"G";1;"01";"";"*";31;;"10288/2012/42";"GFT20";"42018";270
"42018";".90";"";1;"01";"";"";197;;"10288/2012/42";"GFT20";"42018";270
"42018";".91/1";"";1;"01";"";"";220;;"10288/2012/42";"GFT20";"42018";270
"42018";".92/1";"";1;"01";"";"*";94;;"10288/2012/42";"GFT20";"42018";420
"42018";".92/2";"";1;"01";"";"*";32;;"10288/2012/42";"GFT20";"42018";420
"42018";".93";"";1;"01";"";"";26;;"10288/2012/42";"GFT20";"42018";420
"42018";".94";"";1;"01";"";"*";43;;"10288/2012/42";"GFT20";"42018";768
"42018";".95";"";1;"01";"";"";33;;"10288/2012/42";"GFT20";"42018";205
"42018";".96";"";1;"01";"";"";70;;"10288/2012/42";"GFT20";"42018";205
"42018";".97";"";1;"01";"";"";54;;"10288/2012/42";"GFT20";"42018";748
"42018";".98";"";1;"01";"";"";50;;"10288/2012/42";"GFT20";"42018";67
"42018";".99/2";"";1;"01";"T";"";21;;"10288/2012/42";"GFT20";"42018";804
"42018";".99/2";"";6;"01";"T";"";8;;"10288/2012/42";"GFT20";"42018";804
"42018";".99/3";"";6;"01";"";"";20;;"10288/2012/42";"GFT20";"42018";804
"42018";".103/1";"";1;"01";"";"";85;;"10288/2012/42";"GFT20";"42018";240
"42018";".104";"";1;"01";"";"";44;;"10288/2012/42";"GFT20";"42018";240
"42018";".105";"";1;"01";"T";"";22;;"493/2022/42";"GFT20";"42018";898
"42018";".105";"";2;"01";"T";"";13;;"493/2022/42";"GFT20";"42018";898
"42018";".106/1";"";1;"01";"";"";26;;"10288/2012/42";"GFT20";"42018";238
"42018";".106/2";"";1;"01";"";"*";33;;"10288/2012/42";"GFT20";"42018";238
"42018";".107/1";"G";1;"01";"T";"*";204;;"10288/2012/42";"GFT20";"42018";223
"42018";".107/1";"G";1;"02";"T";"*";77;;"10288/2012/42";"GFT20";"42018";223
"42018";".108";"";1;"01";"T";"";5;;"493/2022/42";"GFT20";"42018";327
"42018";".108";"";2;"01";"T";"";29;8;"493/2022/42";"GFT20";"42018";327
"42018";".109/1";"";1;"01";"";"";80;;"285/2014/42";"GFT20";"42018";221
"42018";".109/2";"";1;"01";"";"";126;;"10288/2012/42";"GFT20";"42018";243
"42018";".109/3";"";1;"01";"";"";37;;"10288/2012/42";"GFT20";"42018";243
"42018";".110/1";"";1;"01";"T";"";40;;"285/2014/42";"GFT20";"42018";220
"42018";".110/1";"";8;"05";"T";"";22;;"285/2014/42";"GFT20";"42018";220
"42018";".110/2";"";1;"01";"T";"";16;;"285/2014/42";"GFT20";"42018";220
"42018";".110/2";"";8;"05";"T";"";13;;"285/2014/42";"GFT20";"42018";220
"42018";".111";"";1;"01";"";"";151;;"285/2014/42";"GFT20";"42018";220
"42018";".112";"";1;"01";"";"";86;;"10288/2012/42";"GFT20";"42018";225
"42018";".113";"";1;"01";"";"";201;;"10288/2012/42";"GFT20";"42018";225
"42018";".118";"";1;"01";"";"";77;;"10288/2012/42";"GFT20";"42018";740
