KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42015";".2/1";"";1;"01";"";"*";135;;"10302/2012/42";"GFT20";"42015";23
"42015";".2/2";"";1;"01";"T";"";25;;"10302/2012/42";"GFT20";"42015";23
"42015";".2/2";"";3;"01";"T";"";27;;"10302/2012/42";"GFT20";"42015";23
"42015";".2/3";"";3;"01";"";"";29;;"10302/2012/42";"GFT20";"42015";393
"42015";".2/4";"";3;"01";"";"";27;;"498/2022/42";"GFT20";"42015";23
"42015";".3/1";"";1;"01";"";"*";92;;"10302/2012/42";"GFT20";"42015";22
"42015";".3/2";"";1;"01";"";"*";31;;"10302/2012/42";"GFT20";"42015";22
"42015";".6/1";"";1;"01";"";"*";132;;"10302/2012/42";"GFT20";"42015";21
"42015";".6/2";"";1;"01";"";"*";31;;"10302/2012/42";"GFT20";"42015";21
"42015";".7/1";"";1;"01";"";"*";116;;"10302/2012/42";"GFT20";"42015";20
"42015";".9";"";1;"01";"T";"";24;;"10302/2012/42";"GFT20";"42015";318
"42015";".9";"";1;"02";"T";"";39;;"10302/2012/42";"GFT20";"42015";318
"42015";".9";"";8;"01";"T";"";9;;"10302/2012/42";"GFT20";"42015";318
"42015";".12/2";"";1;"01";"";"*";34;;"10302/2012/42";"GFT20";"42015";393
"42015";".16";"";1;"01";"";"*";102;;"10302/2012/42";"GFT20";"42015";18
"42015";".17";"G";1;"01";"";"*";30;;"10302/2012/42";"GFT20";"42015";361
"42015";".18";"";1;"01";"";"";144;;"10302/2012/42";"GFT20";"42015";17
"42015";".19";"";1;"01";"";"*";36;;"10302/2012/42";"GFT20";"42015";17
"42015";".20";"";1;"01";"";"";34;;"10302/2012/42";"GFT20";"42015";17
"42015";".21";"";1;"01";"";"";85;;"10302/2012/42";"GFT20";"42015";17
"42015";".22";"";1;"01";"";"*";214;;"10302/2012/42";"GFT20";"42015";16
"42015";".23";"";1;"01";"";"*";121;;"10302/2012/42";"GFT20";"42015";16
"42015";".24/2";"";1;"01";"T";"";12;;"498/2022/42";"GFT20";"42015";393
"42015";".24/2";"";3;"01";"T";"";6;;"498/2022/42";"GFT20";"42015";393
"42015";".24/3";"";3;"01";"";"";33;;"498/2022/42";"GFT20";"42015";16
"42015";".28";"";2;"01";"";"";29;;"498/2022/42";"GFT20";"42015";14
"42015";".29/1";"";1;"01";"";"*";157;;"10302/2012/42";"GFT20";"42015";14
"42015";".29/2";"";1;"01";"";"*";189;;"10302/2012/42";"GFT20";"42015";14
"42015";".30/2";"";1;"01";"";"*";41;;"10302/2012/42";"GFT20";"42015";393
"42015";".30/3";"";1;"01";"";"*";126;;"10302/2012/42";"GFT20";"42015";15
"42015";".32/1";"";1;"01";"";"*";37;;"10302/2012/42";"GFT20";"42015";9
"42015";".33";"";1;"01";"";"*";118;;"10302/2012/42";"GFT20";"42015";12
"42015";".34";"";1;"01";"";"*";95;;"10302/2012/42";"GFT20";"42015";12
"42015";".36";"G";1;"01";"";"*";172;;"10302/2012/42";"GFT20";"42015";9
"42015";".38";"";1;"01";"";"*";97;;"10302/2012/42";"GFT20";"42015";7
"42015";".39/1";"";7;"02";"";"";29;;"498/2022/42";"GFT20";"42015";393
"42015";".39/2";"";7;"02";"";"";29;;"498/2022/42";"GFT20";"42015";7
"42015";".39/3";"";1;"01";"";"*";46;;"10302/2012/42";"GFT20";"42015";7
"42015";".39/4";"";1;"01";"";"*";174;;"10302/2012/42";"GFT20";"42015";6
"42015";".39/5";"";1;"01";"";"";18;;"10302/2012/42";"GFT20";"42015";309
"42015";".39/6";"";1;"01";"";"";22;;"10302/2012/42";"GFT20";"42015";5
"42015";".40";"";1;"01";"";"*";176;;"10302/2012/42";"GFT20";"42015";5
"42015";".41";"";1;"01";"";"*";78;;"10302/2012/42";"GFT20";"42015";5
"42015";".42";"";1;"01";"";"";214;;"10302/2012/42";"GFT20";"42015";5
"42015";".44/1";"";1;"01";"";"*";35;;"10302/2012/42";"GFT20";"42015";24
"42015";".44/2";"";1;"01";"T";"*";18;;"10302/2012/42";"GFT20";"42015";24
"42015";".44/2";"";1;"02";"T";"*";4;;"10302/2012/42";"GFT20";"42015";24
"42015";".44/3";"";1;"01";"";"*";185;;"10302/2012/42";"GFT20";"42015";24
"42015";".44/4";"";1;"01";"T";"";37;;"10302/2012/42";"GFT20";"42015";192
"42015";".44/4";"";7;"02";"T";"";45;;"10302/2012/42";"GFT20";"42015";192
"42015";".44/5";"";1;"01";"";"*";94;;"10302/2012/42";"GFT20";"42015";27
"42015";".44/6";"";1;"01";"";"*";91;;"10302/2012/42";"GFT20";"42015";26
"42015";".45";"";1;"01";"T";"";17;;"10302/2012/42";"GFT20";"42015";27
"42015";".45";"";7;"02";"T";"";16;;"10302/2012/42";"GFT20";"42015";27
"42015";".46";"";7;"02";"";"";34;;"10302/2012/42";"GFT20";"42015";320
"42015";".47";"";7;"02";"";"";35;;"10302/2012/42";"GFT20";"42015";27
"42015";".48";"";7;"02";"";"";35;;"10302/2012/42";"GFT20";"42015";27
"42015";".49";"";7;"02";"";"";43;;"10302/2012/42";"GFT20";"42015";3
"42015";".50";"";1;"01";"";"";49;;"10302/2012/42";"GFT20";"42015";4
"42015";".51/1";"";2;"01";"";"";68;;"498/2022/42";"GFT20";"42015";4
"42015";".51/2";"";7;"02";"";"";29;;"498/2022/42";"GFT20";"42015";393
"42015";".52/1";"";1;"01";"";"*";208;;"10302/2012/42";"GFT20";"42015";4
"42015";".53/1";"";1;"01";"";"*";156;;"10302/2012/42";"GFT20";"42015";4
"42015";".53/2";"";1;"01";"";"*";120;;"10302/2012/42";"GFT20";"42015";25
"42015";".54";"";1;"01";"";"";208;;"10302/2012/42";"GFT20";"42015";1
"42015";".55";"";1;"01";"";"";117;;"10302/2012/42";"GFT20";"42015";1
"42015";".56";"";1;"01";"";"*";37;;"10302/2012/42";"GFT20";"42015";1
"42015";".57";"";1;"01";"";"*";51;;"10302/2012/42";"GFT20";"42015";3
"42015";".58";"";1;"01";"";"*";94;;"10302/2012/42";"GFT20";"42015";3
"42015";".59";"G";1;"01";"";"*";94;;"10302/2012/42";"GFT20";"42015";158
"42015";".60";"";1;"01";"";"*";72;;"10302/2012/42";"GFT20";"42015";418
"42015";".64";"";1;"01";"";"*";36;;"10302/2012/42";"GFT20";"42015";132
"42015";".65";"";1;"01";"";"*";107;;"10302/2012/42";"GFT20";"42015";132
"42015";".66";"";1;"01";"";"*";151;;"10302/2012/42";"GFT20";"42015";132
"42015";".67/1";"";1;"01";"";"";83;;"10302/2012/42";"GFT20";"42015";167
"42015";".67/2";"";1;"01";"";"*";102;;"10302/2012/42";"GFT20";"42015";167
"42015";".73";"";1;"01";"";"*";106;;"10302/2012/42";"GFT20";"42015";122
"42015";".77/1";"";7;"02";"";"";59;;"498/2022/42";"GFT20";"42015";292
"42015";".77/2";"";1;"01";"";"*";91;;"10302/2012/42";"GFT20";"42015";413
"42015";".78";"";1;"01";"";"*";51;;"10302/2012/42";"GFT20";"42015";116
"42015";".79";"";1;"01";"";"*";40;;"10302/2012/42";"GFT20";"42015";121
"42015";".80/1";"";1;"01";"";"";43;;"10302/2012/42";"GFT20";"42015";193
"42015";".80/3";"";1;"01";"";"*";33;;"10302/2012/42";"GFT20";"42015";299
"42015";".80/5";"";1;"01";"";"*";32;;"10302/2012/42";"GFT20";"42015";120
"42015";".80/6";"G";1;"01";"";"*";140;;"320/2018/42";"GFT14";"42022";862
"42015";".82/1";"";1;"01";"";"*";129;;"10302/2012/42";"GFT20";"42015";120
"42015";".82/2";"";1;"01";"";"*";47;;"10302/2012/42";"GFT20";"42015";120
"42015";".84";"";1;"01";"";"*";28;;"10302/2012/42";"GFT20";"42015";160
