KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"41007";".1";"";1;"01";"T";"";314;;"10077/2012/41";"GFT20";"41007";293
"41007";".1";"";3;"01";"T";"";66;;"10077/2012/41";"GFT20";"41007";293
"41007";".3";"";1;"01";"";"";475;;"10077/2012/41";"GFT20";"41007";292
"41007";".5";"";1;"01";"";"";580;;"10077/2012/41";"GFT20";"41007";5
"41007";".7";"";1;"01";"";"*";112;;"10077/2012/41";"GFT20";"41007";2
"41007";".9";"";1;"01";"";"";162;;"10077/2012/41";"GFT20";"41007";136
"41007";".11";"";1;"01";"";"";546;;"10077/2012/41";"GFT20";"41007";6
"41007";".14/2";"";1;"01";"T";"*";148;;"364/2018/41";"GFT34";"41007";106
"41007";".14/2";"";1;"02";"T";"*";11;;"364/2018/41";"GFT34";"41007";106
"41007";".14/2";"";3;"01";"T";"*";6;;"364/2018/41";"GFT34";"41007";106
"41007";".15";"";1;"01";"";"";350;;"273/2014/41";"GFT9";"41007";8
"41007";".17";"";1;"01";"";"";206;;"10077/2012/41";"GFT20";"41007";376
"41007";".18";"";1;"01";"";"";709;;"291/2014/41";"GFT20";"41007";1
"41007";".21/1";"";1;"01";"";"*";117;;"10077/2012/41";"GFT20";"41007";10
"41007";".21/2";"G";1;"01";"";"*";227;;"10077/2012/41";"GFT20";"41007";291
"41007";".22";"G";1;"01";"";"*";210;;"10077/2012/41";"GFT20";"41007";291
"41007";".23";"";1;"01";"";"";225;;"10077/2012/41";"GFT20";"41007";135
"41007";".25";"";1;"01";"";"";320;;"291/2014/41";"GFT20";"41007";152
"41007";".26";"";1;"01";"";"";132;;"10077/2012/41";"GFT20";"41007";27
"41007";".27";"";1;"01";"T";"";648;;"246/2014/41";"GFT10";"41007";25
"41007";".27";"";1;"02";"T";"";201;;"246/2014/41";"GFT10";"41007";25
"41007";".29/1";"";1;"01";"";"";203;;"905/2022/41";"GFT44";"41007";389
"41007";".29/2";"G";1;"01";"T";"*";182;;"426/2014/41";"GFT16";"41007";216
"41007";".29/2";"G";3;"01";"T";"*";1428;;"426/2014/41";"GFT16";"41007";216
"41007";".30/1";"";1;"01";"";"";193;;"10077/2012/41";"GFT20";"41007";21
"41007";".30/2";"";1;"01";"";"";233;;"10077/2012/41";"GFT20";"41007";21
"41007";".31/1";"";1;"01";"T";"";191;;"10077/2012/41";"GFT20";"41007";270
"41007";".31/1";"";1;"02";"T";"";13;;"10077/2012/41";"GFT20";"41007";270
"41007";".31/2";"";1;"01";"";"";164;;"10077/2012/41";"GFT20";"41007";283
"41007";".32";"";1;"01";"";"*";51;;"10077/2012/41";"GFT20";"41007";283
"41007";".33";"";1;"01";"T";"";95;;"863/2021/41";"GFT34";"41007";29
"41007";".33";"";2;"01";"T";"";1;;"863/2021/41";"GFT34";"41007";29
"41007";".34";"";1;"01";"";"";407;;"10077/2012/41";"GFT20";"41007";20
"41007";".35";"";1;"01";"";"";227;;"10077/2012/41";"GFT20";"41007";19
"41007";".36/1";"";1;"01";"T";"";795;;"291/2014/41";"GFT20";"41007";18
"41007";".36/1";"";1;"02";"T";"";402;;"291/2014/41";"GFT20";"41007";18
"41007";".38/1";"";1;"01";"T";"";537;;"1005/2015/41";"GFT9";"41007";17
"41007";".38/1";"";1;"02";"T";"";108;;"1005/2015/41";"GFT9";"41007";17
"41007";".38/2";"";1;"01";"";"";216;;"291/2014/41";"GFT20";"41007";99
"41007";".39/1";"";1;"01";"";"";519;;"211/2016/41";"GFT34";"41007";42
"41007";".39/2";"";1;"01";"";"";243;;"246/2014/41";"GFT10";"41007";148
"41007";".39/3";"";1;"01";"";"";36;;"246/2014/41";"GFT10";"41007";148
"41007";".40/1";"";1;"01";"";"";367;;"291/2014/41";"GFT20";"41007";44
"41007";".40/2";"";1;"01";"T";"";493;;"291/2014/41";"GFT20";"41007";381
"41007";".40/2";"";1;"02";"T";"";130;;"291/2014/41";"GFT20";"41007";381
"41007";".41";"";1;"01";"";"";184;;"10077/2012/41";"GFT20";"41007";381
"41007";".43";"";1;"01";"T";"";628;;"291/2014/41";"GFT20";"41007";40
"41007";".43";"";1;"02";"T";"";144;;"291/2014/41";"GFT20";"41007";40
"41007";".44";"";1;"01";"";"";155;;"10077/2012/41";"GFT20";"41007";139
"41007";".45";"";1;"01";"";"";243;;"246/2014/41";"GFT10";"41007";32
"41007";".47";"";1;"01";"T";"";740;;"442/2019/41";"GFT20";"41007";33
"41007";".47";"";1;"02";"T";"";118;;"442/2019/41";"GFT20";"41007";33
"41007";".49/1";"";1;"01";"T";"";262;;"364/2018/41";"GFT34";"41007";35
"41007";".49/1";"";3;"01";"T";"";34;;"364/2018/41";"GFT34";"41007";35
"41007";".49/1";"";8;"05";"T";"";204;;"364/2018/41";"GFT34";"41007";35
"41007";".49/2";"";1;"01";"T";"";690;;"442/2019/41";"GFT20";"41007";34
"41007";".49/2";"";1;"02";"T";"";75;;"442/2019/41";"GFT20";"41007";34
"41007";".49/2";"";8;"05";"T";"";148;;"442/2019/41";"GFT20";"41007";34
"41007";".50";"";1;"01";"";"";142;;"10077/2012/41";"GFT20";"41007";41
"41007";".52";"";1;"01";"";"";163;;"10077/2012/41";"GFT20";"41007";57
"41007";".53";"";1;"01";"";"";508;;"291/2014/41";"GFT20";"41007";57
"41007";".54";"";1;"01";"T";"";611;;"291/2014/41";"GFT20";"41007";56
"41007";".54";"";1;"02";"T";"";149;;"291/2014/41";"GFT20";"41007";56
"41007";".55";"";1;"01";"";"";203;;"291/2014/41";"GFT20";"41007";55
"41007";".56";"";1;"01";"T";"";899;;"291/2014/41";"GFT20";"41007";55
"41007";".56";"";1;"02";"T";"";519;;"291/2014/41";"GFT20";"41007";55
"41007";".57";"";1;"01";"";"";74;;"10077/2012/41";"GFT20";"41007";54
"41007";".58";"";1;"01";"T";"";874;;"411/2014/41";"GFT10";"41007";54
"41007";".58";"";1;"02";"T";"";118;;"411/2014/41";"GFT10";"41007";54
"41007";".60";"";1;"01";"";"";357;;"291/2014/41";"GFT20";"41007";71
"41007";".61";"";1;"01";"";"";340;;"712/2021/41";"GFT44";"41007";49
