KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42022";".1/1";"";1;"01";"";"";128;;"10291/2012/42";"GFT20";"42022";5
"42022";".1/3";"";1;"01";"";"";81;;"10291/2012/42";"GFT20";"42022";301
"42022";".3/1";"";1;"01";"";"*";107;;"10291/2012/42";"GFT20";"42022";3
"42022";".3/2";"";1;"01";"";"*";69;;"10291/2012/42";"GFT20";"42022";3
"42022";".5/1";"";1;"01";"";"";104;;"10291/2012/42";"GFT20";"42022";9
"42022";".5/2";"";1;"01";"";"";14;;"10291/2012/42";"GFT20";"42022";9
"42022";".5/3";"";1;"01";"";"*";8;;"10291/2012/42";"GFT20";"42022";2
"42022";".5/4";"";1;"01";"";"*";23;;"10291/2012/42";"GFT20";"42022";44
"42022";".6/1";"";1;"01";"";"*";47;;"10291/2012/42";"GFT20";"42022";792
"42022";".6/3";"";1;"01";"";"*";31;;"10291/2012/42";"GFT20";"42022";334
"42022";".7/3";"";1;"01";"";"*";24;;"10291/2012/42";"GFT20";"42022";156
"42022";".9";"";1;"01";"T";"";40;;"10291/2012/42";"GFT20";"42022";100
"42022";".9";"";7;"02";"T";"";36;;"10291/2012/42";"GFT20";"42022";100
"42022";".11";"";1;"02";"";"*";19;;"10291/2012/42";"GFT20";"42022";100
"42022";".12";"";1;"02";"";"";24;;"10291/2012/42";"GFT20";"42022";100
"42022";".13/1";"";1;"01";"T";"";1131;;"10291/2012/42";"GFT20";"42022";100
"42022";".13/1";"";1;"02";"T";"";18;;"10291/2012/42";"GFT20";"42022";100
"42022";".13/1";"";3;"01";"T";"";899;;"10291/2012/42";"GFT20";"42022";100
"42022";".13/2";"";1;"01";"";"*";76;;"10291/2012/42";"GFT20";"42022";100
"42022";".14/2";"G";1;"01";"";"*";22;;"10291/2012/42";"GFT20";"42022";719
"42022";".18/1";"";1;"01";"";"";76;;"10291/2012/42";"GFT20";"42022";93
"42022";".19/1";"";1;"01";"";"";118;;"10291/2012/42";"GFT20";"42022";93
"42022";".19/4";"";8;"02";"";"";518;;"495/2022/42";"GFT20";"42022";903
"42022";".19/5";"";1;"01";"";"";224;;"10291/2012/42";"GFT20";"42022";903
"42022";".19/6";"";8;"02";"";"";132;;"495/2022/42";"GFT20";"42022";903
"42022";".20/1";"";1;"01";"";"*";148;;"10291/2012/42";"GFT20";"42022";92
"42022";".20/2";"";1;"01";"";"";50;;"10291/2012/42";"GFT20";"42022";205
"42022";".20/3";"";1;"01";"";"";9;;"10291/2012/42";"GFT20";"42022";73
"42022";".20/4";"";1;"01";"";"";48;;"10291/2012/42";"GFT20";"42022";128
"42022";".20/5";"";2;"01";"";"";13;;"495/2022/42";"GFT20";"42022";72
"42022";".20/7";"";2;"01";"";"";22;;"1135/2016/42";"GFT20";"42022";73
"42022";".22/1";"";1;"01";"";"";79;;"10291/2012/42";"GFT20";"42022";89
