KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42007";".6";"";1;"01";"";"";226;;"10283/2012/42";"GFT20";"42007";281
"42007";".11";"";1;"01";"T";"";413;;"10283/2012/42";"GFT20";"42007";473
"42007";".11";"";1;"02";"T";"";63;;"10283/2012/42";"GFT20";"42007";473
"42007";".12";"";1;"01";"T";"";255;;"10283/2012/42";"GFT20";"42007";473
"42007";".12";"";1;"02";"T";"";438;;"10283/2012/42";"GFT20";"42007";473
"42007";".14";"";1;"01";"";"";38;;"10283/2012/42";"GFT20";"42007";282
"42007";".17";"G";1;"01";"";"*";184;;"1302/2015/42";"GFT16";"42007";647
"42007";".18/1";"";1;"01";"";"";83;;"312/2014/42";"GFT9";"42007";647
"42007";".19/1";"";1;"01";"";"";12;;"10283/2012/42";"GFT20";"42007";89
"42007";".19/3";"";3;"01";"";"";9;;"150/2021/42";"GFT20";"42007";539
"42007";".19/4";"";1;"01";"";"";24;;"10283/2012/42";"GFT20";"42007";539
"42007";".20/1";"";1;"01";"";"";25;;"10283/2012/42";"GFT20";"42007";539
"42007";".20/2";"";1;"01";"";"";15;;"10283/2012/42";"GFT20";"42007";539
"42007";".21/2";"";1;"01";"";"";20;;"10283/2012/42";"GFT20";"42007";539
"42007";".21/3";"";1;"01";"";"";48;;"10283/2012/42";"GFT20";"42007";539
"42007";".21/4";"";1;"01";"";"";25;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/1";"";1;"01";"";"";20;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/2";"";1;"01";"";"";33;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/3";"";1;"01";"";"";29;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/4";"";1;"01";"";"";24;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/5";"";1;"01";"";"";13;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/7";"";1;"01";"";"";24;;"10283/2012/42";"GFT20";"42007";539
"42007";".22/9";"";1;"01";"";"";31;;"10283/2012/42";"GFT20";"42007";539
"42007";".23/1";"";1;"01";"";"";15;;"10283/2012/42";"GFT20";"42007";539
"42007";".23/2";"";1;"01";"";"";31;;"10283/2012/42";"GFT20";"42007";539
"42007";".23/3";"";1;"01";"";"";27;;"10283/2012/42";"GFT20";"42007";539
"42007";".23/4";"";1;"01";"";"";32;;"10283/2012/42";"GFT20";"42007";539
