KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42005";".1/3";"";1;"01";"";"*";28;;"10106/2012/42";"GFT20";"42005";1350
"42005";".1/4";"";1;"01";"";"*";84;;"10106/2012/42";"GFT20";"42005";1162
"42005";".1/5";"";1;"01";"";"*";83;;"10106/2012/42";"GFT20";"42005";331
"42005";".1/6";"";2;"01";"";"";29;;"523/2018/42";"GFT31";"42005";1162
"42005";".1/7";"";1;"01";"";"";46;;"10106/2012/42";"GFT20";"42005";333
"42005";".2/2";"";1;"01";"";"*";20;;"10106/2012/42";"GFT20";"42005";496
"42005";".3/2";"";1;"01";"";"*";52;;"10106/2012/42";"GFT20";"42005";1162
"42005";".3/3";"";1;"01";"";"*";199;;"10106/2012/42";"GFT20";"42005";483
"42005";".4";"";1;"01";"";"*";174;;"10106/2012/42";"GFT20";"42005";497
"42005";".7/1";"";1;"01";"";"";12;;"10106/2012/42";"GFT20";"42005";470
"42005";".7/3";"";1;"01";"";"";86;;"10106/2012/42";"GFT20";"42005";735
"42005";".7/4";"";1;"01";"";"";76;;"10106/2012/42";"GFT20";"42005";470
"42005";".8/3";"";1;"01";"";"";119;;"10106/2012/42";"GFT20";"42005";282
"42005";".9";"";1;"01";"";"";94;;"10106/2012/42";"GFT20";"42005";1022
"42005";".11/1";"";1;"01";"";"";142;;"10106/2012/42";"GFT20";"42005";285
"42005";".12";"";1;"01";"";"";33;;"10106/2012/42";"GFT20";"42005";285
"42005";".13/1";"";1;"01";"";"";34;;"10106/2012/42";"GFT20";"42005";1162
"42005";".13/2";"";1;"01";"";"";75;;"10106/2012/42";"GFT20";"42005";287
"42005";".14/1";"";1;"01";"";"";102;;"1051/2015/42";"GFT31";"42005";287
"42005";".14/2";"";1;"01";"T";"";3;;"10106/2012/42";"GFT20";"42005";287
"42005";".14/2";"";8;"05";"T";"";19;;"10106/2012/42";"GFT20";"42005";287
"42005";".14/3";"";1;"01";"T";"";27;;"497/2022/42";"GFT20";"42005";1105
"42005";".14/3";"";2;"01";"T";"";16;;"497/2022/42";"GFT20";"42005";1105
"42005";".14/4";"";1;"01";"T";"";30;;"497/2022/42";"GFT20";"42005";190
"42005";".14/4";"";2;"01";"T";"";6;;"497/2022/42";"GFT20";"42005";190
