KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42016";".1/2";"";1;"01";"";"";93;;"10303/2012/42";"GFT20";"42016";72
"42016";".2/1";"";1;"01";"";"";17;;"10303/2012/42";"GFT20";"42016";74
"42016";".2/2";"";1;"01";"";"*";25;;"10303/2012/42";"GFT20";"42016";74
"42016";".4/1";"";1;"01";"";"";97;;"10303/2012/42";"GFT20";"42016";74
"42016";".4/2";"";2;"01";"";"";36;9;"494/2022/42";"GFT20";"42016";74
"42016";".5";"";1;"01";"";"*";160;;"10303/2012/42";"GFT20";"42016";76
"42016";".7";"";2;"01";"";"";28;8;"494/2022/42";"GFT20";"42016";76
"42016";".8/1";"";1;"01";"";"";146;;"10303/2012/42";"GFT20";"42016";76
"42016";".8/2";"";1;"01";"";"";29;;"10303/2012/42";"GFT20";"42016";76
"42016";".10";"";1;"01";"";"";196;;"10303/2012/42";"GFT20";"42016";327
"42016";".12";"G";1;"01";"";"*";97;;"10303/2012/42";"GFT20";"42016";95
"42016";".15";"G";1;"01";"";"*";108;;"10303/2012/42";"GFT20";"42016";95
"42016";".16";"";1;"01";"";"*";156;;"215/2014/42";"GFT20";"42016";63
"42016";".17";"";1;"01";"";"*";100;;"10303/2012/42";"GFT20";"42016";394
"42016";".18";"";1;"01";"";"";140;;"10303/2012/42";"GFT20";"42016";63
"42016";".20/1";"";1;"01";"";"";34;;"10303/2012/42";"GFT20";"42016";58
"42016";".20/2";"";1;"01";"";"";112;;"10303/2012/42";"GFT20";"42016";58
"42016";".21";"";1;"01";"";"*";255;;"10303/2012/42";"GFT20";"42016";57
"42016";".22";"";1;"01";"";"";201;;"10303/2012/42";"GFT20";"42016";57
"42016";".23";"";1;"01";"";"";35;;"10303/2012/42";"GFT20";"42016";57
"42016";".24";"";1;"01";"";"";116;;"10303/2012/42";"GFT20";"42016";59
"42016";".25";"";1;"01";"";"";100;;"10303/2012/42";"GFT20";"42016";114
"42016";".26";"";1;"01";"";"";147;;"10303/2012/42";"GFT20";"42016";390
"42016";".29";"";1;"01";"";"";94;;"10303/2012/42";"GFT20";"42016";62
"42016";".31";"";1;"01";"";"";110;;"10303/2012/42";"GFT20";"42016";61
"42016";".36";"";1;"01";"";"";56;;"215/2014/42";"GFT20";"42016";576
"42016";".37";"";1;"01";"";"";94;;"10303/2012/42";"GFT20";"42016";576
"42016";".38";"";1;"01";"";"";14;;"10303/2012/42";"GFT20";"42016";59
"42016";".40/1";"";1;"01";"";"";150;;"10303/2012/42";"GFT20";"42016";110
"42016";".41";"G";1;"01";"";"*";29;;"10303/2012/42";"GFT20";"42016";99
"42016";".42/1";"G";1;"01";"";"*";105;;"10303/2012/42";"GFT20";"42016";99
"42016";".42/2";"";1;"01";"";"";24;;"10303/2012/42";"GFT20";"42016";121
"42016";".42/3";"";1;"01";"";"*";188;;"10303/2012/42";"GFT20";"42016";121
"42016";".42/4";"";1;"01";"";"*";120;;"10303/2012/42";"GFT20";"42016";121
"42016";".43";"";1;"01";"T";"";19;;"494/2022/42";"GFT20";"42016";31
"42016";".43";"";2;"01";"T";"";10;;"494/2022/42";"GFT20";"42016";31
"42016";".44/1";"";1;"01";"";"";97;;"10303/2012/42";"GFT20";"42016";31
"42016";".44/2";"";1;"01";"";"";29;;"10303/2012/42";"GFT20";"42016";31
"42016";".45/1";"";1;"01";"";"";81;;"10303/2012/42";"GFT20";"42016";31
"42016";".45/2";"";1;"01";"T";"";42;;"215/2014/42";"GFT20";"42016";116
"42016";".45/2";"";2;"01";"T";"";37;;"215/2014/42";"GFT20";"42016";116
"42016";".45/3";"";1;"01";"";"";100;;"10303/2012/42";"GFT20";"42016";116
"42016";".46";"";1;"01";"";"";96;;"10303/2012/42";"GFT20";"42016";50
"42016";".47";"";1;"01";"";"";106;;"10303/2012/42";"GFT20";"42016";50
"42016";".53";"";1;"01";"";"";42;;"10303/2012/42";"GFT20";"42016";53
"42016";".54";"";1;"01";"";"";49;;"10303/2012/42";"GFT20";"42016";53
"42016";".55";"";1;"01";"";"";105;;"10303/2012/42";"GFT20";"42016";53
"42016";".56/1";"";1;"01";"T";"*";28;;"337/2021/42";"GFT41";"42016";210
"42016";".56/1";"";3;"01";"T";"*";21;;"337/2021/42";"GFT41";"42016";210
"42016";".56/3";"";1;"01";"";"";19;;"10303/2012/42";"GFT20";"42016";611
"42016";".58";"";1;"01";"";"";110;;"10303/2012/42";"GFT20";"42016";48
"42016";".59/1";"";1;"01";"";"*";106;;"10303/2012/42";"GFT20";"42016";48
