KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"41005";".66";"";1;"01";"";"";280;;"10075/2012/41";"GFT20";"41005";102
"41005";".70";"";1;"01";"T";"";429;;"10075/2012/41";"GFT20";"41005";174
"41005";".70";"";1;"02";"T";"";49;;"10075/2012/41";"GFT20";"41005";174
"41005";".71";"";2;"01";"";"";32;5;"10577/2012/41";"GFT31";"41005";174
"41005";".76";"";1;"01";"T";"";510;;"10075/2012/41";"GFT20";"41005";51
"41005";".76";"";8;"05";"T";"";26;;"10075/2012/41";"GFT20";"41005";51
"41005";".78";"";1;"01";"T";"";212;;"10075/2012/41";"GFT20";"41005";52
"41005";".78";"";1;"02";"T";"";16;;"10075/2012/41";"GFT20";"41005";52
"41005";".79/1";"";1;"01";"T";"";834;;"10075/2012/41";"GFT20";"41005";53
"41005";".79/1";"";1;"02";"T";"";82;;"10075/2012/41";"GFT20";"41005";53
"41005";".81";"";1;"01";"";"";347;;"10075/2012/41";"GFT20";"41005";50
"41005";".82";"";1;"01";"";"";348;;"10075/2012/41";"GFT20";"41005";48
"41005";".84";"";1;"01";"";"";440;;"10075/2012/41";"GFT20";"41005";47
"41005";".85/1";"";1;"01";"T";"";514;;"10075/2012/41";"GFT20";"41005";49
"41005";".85/1";"";1;"02";"T";"";66;;"10075/2012/41";"GFT20";"41005";49
"41005";".85/2";"";1;"01";"";"";358;;"10075/2012/41";"GFT20";"41005";54
"41005";".86";"";1;"01";"";"";182;;"10075/2012/41";"GFT20";"41005";59
"41005";".87";"";1;"01";"";"";347;;"10075/2012/41";"GFT20";"41005";176
"41005";".88/1";"";1;"01";"";"";543;;"10075/2012/41";"GFT20";"41005";58
"41005";".88/2";"";1;"01";"";"";246;;"10075/2012/41";"GFT20";"41005";130
"41005";".90/1";"";1;"01";"";"";201;;"10075/2012/41";"GFT20";"41005";170
"41005";".90/2";"";1;"01";"";"";122;;"10075/2012/41";"GFT20";"41005";149
"41005";".90/3";"";1;"01";"";"";41;;"10075/2012/41";"GFT20";"41005";170
"41005";".91";"";1;"01";"T";"";391;;"10075/2012/41";"GFT20";"41005";56
"41005";".91";"";1;"02";"T";"";59;;"10075/2012/41";"GFT20";"41005";56
"41005";".92";"";1;"01";"";"";112;;"10075/2012/41";"GFT20";"41005";152
"41005";".93";"";2;"03";"";"";191;4;"135/2023/41";"GFT31";"41005";65
"41005";".94";"";1;"01";"";"";336;;"10075/2012/41";"GFT20";"41005";63
"41005";".95";"";1;"01";"T";"";433;;"10075/2012/41";"GFT20";"41005";161
"41005";".95";"";1;"02";"T";"";157;;"10075/2012/41";"GFT20";"41005";161
"41005";".97/1";"";1;"01";"";"";210;;"10075/2012/41";"GFT20";"41005";158
"41005";".98";"";1;"01";"T";"";595;;"10075/2012/41";"GFT20";"41005";62
"41005";".98";"";1;"02";"T";"";42;;"10075/2012/41";"GFT20";"41005";62
"41005";".99";"";1;"01";"";"*";193;;"10075/2012/41";"GFT20";"41005";159
"41005";".100";"";1;"01";"T";"*";321;;"363/2022/41";"GFT34";"41005";159
"41005";".100";"";8;"05";"T";"*";72;;"363/2022/41";"GFT34";"41005";159
"41005";".104";"";1;"01";"T";"";672;;"10075/2012/41";"GFT20";"41005";80
"41005";".104";"";1;"02";"T";"";96;;"10075/2012/41";"GFT20";"41005";80
"41005";".105";"";1;"01";"";"";338;;"10075/2012/41";"GFT20";"41005";74
"41005";".107";"";1;"01";"";"";20;;"346/2023/41";"GFT20";"41005";78
"41005";".108";"";1;"01";"T";"";576;;"402/2014/41";"GFT20";"41005";76
"41005";".108";"";1;"02";"T";"";38;;"402/2014/41";"GFT20";"41005";76
"41005";".109";"";1;"01";"";"";279;;"10075/2012/41";"GFT20";"41005";78
"41005";".111";"";1;"01";"";"";180;;"10075/2012/41";"GFT20";"41005";73
"41005";".113";"";1;"01";"T";"";596;;"10075/2012/41";"GFT20";"41005";75
"41005";".113";"";1;"02";"T";"";71;;"10075/2012/41";"GFT20";"41005";75
"41005";".113";"";8;"05";"T";"";78;;"10075/2012/41";"GFT20";"41005";75
"41005";".115";"";6;"01";"";"";342;;"10075/2012/41";"GFT20";"41005";70
"41005";".118/1";"";1;"01";"";"";288;;"10075/2012/41";"GFT20";"41005";71
"41005";".118/2";"";1;"01";"";"";101;;"10075/2012/41";"GFT20";"41005";103
"41005";".120";"";1;"01";"";"";176;;"10075/2012/41";"GFT20";"41005";68
"41005";".122";"";1;"01";"";"";281;;"402/2014/41";"GFT20";"41005";184
"41005";".123";"";1;"01";"";"";205;;"10075/2012/41";"GFT20";"41005";82
"41005";".133";"";1;"01";"";"";125;;"10075/2012/41";"GFT20";"41005";49
"41005";".134";"";1;"01";"";"";22;;"10075/2012/41";"GFT20";"41005";47
"41005";".135";"";1;"01";"";"";104;;"10075/2012/41";"GFT20";"41005";130
"41005";".136";"";1;"01";"";"";167;;"10075/2012/41";"GFT20";"41005";134
"41005";"873/3";"";2;"03";"T";"";2938;176;"329/2019/41";"GFT20";"41005";166
"41005";"873/3";"";6;"01";"T";"";735613;;"329/2019/41";"GFT20";"41005";166
"41005";"873/3";"";6;"03";"T";"";11543;;"329/2019/41";"GFT20";"41005";166
"41005";"873/3";"";7;"02";"T";"";3837;;"329/2019/41";"GFT20";"41005";166
"41005";"873/3";"";8;"06";"T";"";10972;;"329/2019/41";"GFT20";"41005";166
"41005";"912/4";"";6;"01";"";"";9119;;"10075/2012/41";"GFT20";"41005";150
"41005";"912/5";"";8;"06";"";"*";1869;;"10075/2012/41";"GFT20";"41005";144
"41005";"913/2";"";6;"01";"";"";7886;;"10075/2012/41";"GFT20";"41005";163
"41005";"941/2";"";8;"06";"";"*";9984;;"10075/2012/41";"GFT20";"41005";144
"41005";"942";"";2;"01";"T";"";5172;780;"402/2014/41";"GFT20";"41005";135
"41005";"942";"";2;"03";"T";"";609;21;"402/2014/41";"GFT20";"41005";135
"41005";"942";"";6;"01";"T";"";12091;;"402/2014/41";"GFT20";"41005";135
"41005";"953";"";1;"01";"T";"";195;;"402/2014/41";"GFT20";"41005";135
"41005";"953";"";2;"01";"T";"";7361;1235;"402/2014/41";"GFT20";"41005";135
"41005";"954";"";1;"01";"T";"";53;;"135/2023/41";"GFT31";"41005";102
"41005";"954";"";2;"01";"T";"";16378;2363;"135/2023/41";"GFT31";"41005";102
"41005";"954";"";2;"03";"T";"";590;12;"135/2023/41";"GFT31";"41005";102
"41005";"954";"";6;"01";"T";"";2472;;"135/2023/41";"GFT31";"41005";102
"41005";"954";"";8;"05";"T";"";293;;"135/2023/41";"GFT31";"41005";102
"41005";"955";"";2;"01";"";"";1422;270;"10577/2012/41";"GFT31";"41005";102
"41005";"964";"";2;"01";"T";"";3501;565;"329/2019/41";"GFT20";"41005";166
"41005";"964";"";2;"03";"T";"";1441;115;"329/2019/41";"GFT20";"41005";166
"41005";"964";"";6;"01";"T";"";10476;;"329/2019/41";"GFT20";"41005";166
"41005";"964";"";6;"03";"T";"";87;;"329/2019/41";"GFT20";"41005";166
